name,port,protocol
sane-port,6566,tcp
ircd,6667,tcp
zope-ftp,8021,tcp
tproxy,8081,tcp
omniorb,8088,tcp
omniorb,8088,udp
clc-build-daemon,8990,tcp
xinetd,9098,tcp
mandelspawn,9359,udp
git,9418,tcp
zope,9673,tcp
webmin,10000,tcp
kamanda,10081,tcp
amandaidx,10082,tcp
amidxtape,10083,tcp
smsqp,11201,tcp
smsqp,11201,udp
xpilot,15345,tcp
xpilot,15345,udp
sgi-cmsd,17001,udp
sgi-crsd,17002,udp
sgi-gcd,17003,udp
sgi-cad,17004,tcp
isdnlog,20011,tcp
isdnlog,20011,udp
vboxd,20012,tcp
vboxd,20012,udp
binkp,24554,tcp
asp,27374,tcp
asp,27374,udp
csync2,30865,tcp
dircproxy,57000,tcp
tfido,60177,tcp
fido,60179,tcp
